Category,Slope,Intercept
Cognitive Optimization,0.7107142857142856,-1425.0440476190474
Emphasizing Actions,0.6892857142857142,-1382.2226190476188
Education,0.6749999999999998,-1352.6749999999995
Explaining Concepts,0.6749999999999998,-1352.4749999999997
Animated Localized,0.6571428571428571,-1319.0571428571427
Academic Research,0.6428571428571428,-1287.7095238095235
Hybrid Time,0.6392857142857141,-1282.7726190476187
Hybrid Space,0.5964285714285713,-1197.063095238095
Rule Based ,0.575,-1152.0416666666663
Journalism,0.5285714285714285,-1061.8619047619045
Animated Global,0.5214285714285715,-1044.9880952380952
Animated Non Linear,0.4964285714285713,-994.8297619047617
Non Interactive,0.4357142857142856,-873.3690476190475
Hybrid Cluster,0.4214285714285714,-845.8880952380952
Inspiring Experience,0.4142857142857142,-828.8809523809522
Information Overload,0.4107142857142857,-823.7440476190476
Animated Linear,0.3535714285714285,-707.2202380952381
Creating Atmosphere,0.3321428571428571,-667.9988095238095
Environmental Science,0.2928571428571428,-588.7595238095238
Immersive Experience,0.2821428571428571,-566.5488095238094
Spatial Cluster Boundary,0.2678571428571428,-537.2011904761903
Visual Fatigue,0.2642857142857143,-529.2642857142857
Animated Path,0.2642857142857142,-530.0642857142856
Stepwise Cluster Formation,0.2535714285714286,-509.3869047619049
Static Multi Frame,0.2392857142857142,-479.172619047619
Animated Real Time,0.2321428571428571,-466.6988095238095
Social Advocacy,0.2285714285714285,-458.895238095238
Emotional Experience,0.2285714285714285,-457.82857142857137
Fully Interactive,0.2214285714285714,-442.02142857142854
Business,0.2214285714285714,-444.2880952380952
Interaction Confusion,0.2178571428571428,-435.9511904761905
AI or ML Generative,0.2107142857142857,-424.0773809523809
Incremental Classification Boundary,0.1928571428571428,-387.7261904761904
Conveying Emotions,0.1857142857142857,-372.0523809523809
Semi Interactive,0.1535714285714285,-306.220238095238
Static Single Frame,0.1321428571428571,-264.1321428571428
Static Single View,0.1285714285714285,-256.5952380952381
Multi Modal Interaction,0.1142857142857143,-228.91428571428577
Emotional Burden,0.1142857142857142,-229.38095238095235
Tree Expansion,0.1142857142857142,-228.11428571428567
Static Multi View,0.1142857142857142,-226.78095238095236
Augmented Reality (AR),0.0999999999999999,-201.36666666666665
Real Time,0.0964285714285714,-193.36309523809524
Virtual Reality (VR),0.0928571428571428,-186.69285714285712
Progressive Manifold Projection,0.075,-150.80833333333334
Eye Tracking,0.0535714285714285,-107.45357142857144
Healthcare,0.0535714285714285,-107.4535714285714
Motion Sensing Devices,0.0142857142857142,-28.547619047619055
Force Directed Cluster,-0.0535714285714285,109.12023809523812
