No.,Papers,Year,Venues,Link
1,Enhancing Static Charts With Data-Driven Animations,2020,TVCG,https://ieeexplore.ieee.org/iel7/2945/4359476/09257096.pdf
2,Reviving Static Charts into Live Charts,2023,other/arxiv,https://arxiv.org/pdf/2309.02967
3,Kineticharts: Augmenting Affective Expressiveness of Charts in Data Stories with Animation Design,2021,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552240
4,Data Player: Automatic Generation of Data Videos with Narration-Animation Interplay,2023,TVCG,https://arxiv.org/pdf/2308.04703
5,Improving Engagement of Animated Visualization with Visual Foreshadowing,2020,VIS,https://arxiv.org/pdf/2009.03784
6,What Makes a Data-GIF Understandable?,2020,TVCG,https://ieeexplore.ieee.org/iel7/2945/9340023/09222309.pdf
7,WonderFlow: Narration-Centric Design of Animated Data Videos,2023,other/arxiv,https://arxiv.org/pdf/2308.04040.pdf
8,On the Potential of Zines as a Medium for Visualization,,VIS,https://arxiv.org/pdf/2108.02177
9,ScrollyVis: Interactive visual authoring of guided dynamic narratives for scientific scrollytelling,2022,TVCG,
10,Evaluating the Effect of Enhanced Text-Visualization Integration on Combating Misinformation in Data Story,2023,CSDE,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10089319
11,Visualizing Cumulative Risk Across Work Contexts,2022,CSDE,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10089319
12,Data Animator: Authoring Expressive Animated Data Graphics,2021,CHI,https://dl.acm.org/doi/pdf/10.1145/3411764.3445747?casa_token=RpJiOt4FCWUAAAAA:1d6dBHyDNwZXLrfXGyv1gUgT8GQytU4xCGrRlZTg5etQ1zjrCUhTwB_zMcVMtlo5CeKhGCQOPcM
13,Communicating with Motion: A Design Space for Animated Visual Narratives in Data Videos,2021,CHI,https://dl.acm.org/doi/pdf/10.1145/3411764.3445337
14,Roslingifier: Semi-Automated Storytelling for Animated Scatterplots,2022,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9695173
15,Illustrating Changes in Time-Series Data With Data Video,2020,IEEE Computer Graphics and Applications,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964411
16,Sea of Genes: A Reflection on Visualising Metagenomic Data for Museums,2020,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9241413
17,"Visualizing Life in the Deep: A Creative Pipeline for Data-Driven Animations to Facilitate Marine Mammal Research, Outreach, and Conservation",2021,VISAP,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622956
18,Understanding the Design Space for Animated Narratives Applied to Illustrations,2021,CHI,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13980
19,Spatiotemporal Phenomena Summarization through Static Visual Narratives,2020,IV,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9373112
20,Photosensitive Accessibility for Interactive Data Visualizations,2022,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9904428
21,AutoClips: An Automatic Approach to Video Generation from Data Facts,2021,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.14324
22,SEEVis: A Smart Emergency Evacuation Plan Visualization System with Data-Driven Shot Designs,2020,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13999
23,Effect of Adaptive Guidance and Visualization Literacy on Gaze Attentive Behaviors and Sequential Patterns on Magazine-Style Narrative Visualizations,2021,ACM TiiS,https://dl.acm.org/doi/pdf/10.1145/3447992
24,Molecumentary: Adaptable NarratedDocumentaries Using Molecular Visualization,2021,TVCG,https://ieeexplore.ieee.org/iel7/2945/10032251/09627526.pdf
25,Fidyll: A Compiler for Cross-Format Data Stories & Explorable Explanations,2022,other/arxiv,https://arxiv.org/pdf/2205.09858
26,Once Upon A Time In Visualization: Understanding the Use of Textual Narratives for Causality,2020,TVCG,https://ieeexplore.ieee.org/iel7/2945/4359476/09222357.pdf
27,DataParticles: Block-based and Language-oriented Authoring of Animated Unit Visualizations,2023,CHI,https://dl.acm.org/doi/pdf/10.1145/3544548.3581472
28,AniVis: Generating Animated Transitions Between Statistical Charts with a Tree-Based Model,2021,other/arxiv,
29,Gaze-Driven Adaptive Interventions for Magazine-Style Narrative Visualizations,2019,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8930077
30,Unraveling The Complexity: A User-Centered Design Process For Narrative Visualization,2023,CHI,https://dl.acm.org/doi/pdf/10.1145/3544549.3573866
31,Narrative Visualization to Communicate Neurological Diseases,2022,other/arxiv,https://arxiv.org/pdf/2212.10121.pdf
32,Designing Narrative-Focused Role-Playing Games for Visualization Literacy in Young Children,2020,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9222251
33,Cinematic Techniques in Narrative Visualization,2023,other/arxiv,https://arxiv.org/pdf/2301.03109.pdf
34,Narrative Transitions in Data Videos,2020,VIS,https://arxiv.org/pdf/2009.05233.pdf
35,Understanding the Design Space and Authoring Paradigms for Animated Data Graphics,2020,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13974
36,The Stories We Tell About Data: Surveying Data-Driven Storytelling Using Visualization,2023,IEEE Computer Graphics and Applications,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222357
37,Structure and Empathy in Visual Data Storytelling: Evaluating their Influence on Attitude,2020,EuroVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13980
38,Supporting Story Synthesis: Bridging the Gap between Visual Analytics and Storytelling,2020,TVCG,https://ieeexplore.ieee.org/iel7/2945/4359476/08585048.pdf?casa_token=WpuOOrv4DwEAAAAA:3UE7EL5EldUWxq1M0Aeeblr0iq_rhl52xIqkojYDYT0v-6Qmye5lVyUKvKEODRdIyYobVqiViHI
39,Evaluating the Effect of Enhanced Text-Visualization Integration on Combating Misinformation in Data Story,2022,PacificVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9787872
40,Erato: Cooperative Data Story Editing via Fact Interpolation,2023,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9903555
41,Business-intelligence framework for visualization and its associate text narration,2020,KST,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9059351&casa_token=5FW6Z-IPXNcAAAAA:yp7HozWu9_KpsrLwE6AsZ5Z4xBtL-KvNmaE5udDRiCX9Web0K95qmH1vT4p8EvTX-2BgwivK
42,Animated Narrative Visualization for Video Clickstream Data,2016,SIGGRAPH Asia,https://dl.acm.org/doi/pdf/10.1145/3002151.3002155?casa_token=Q7awjjDWcbkAAAAA:bNFNiv_lYOPyCh7FRmv0B9tSBTt6Di-ks_gZahA5h02PomU6se4dzOI2ExnuWX7ggea05T_Vpq8
43,Telling Stories about Dynamic Networks with Graph Comics,2016,CHI,https://dl.acm.org/doi/pdf/10.1145/2858036.2858387
44,Understanding Data Videos: Looking at Narrative Visualization through the Cinematography Lens,2015,CHI,https://dl.acm.org/doi/pdf/10.1145/2702123.2702431?casa_token=SgINSM_d64AAAAAA:y5vUS2u_zYE7Q2XTI5tVaVBHULxvWhJNQpSpx0URhF0mJ6KgE2XY0E1KRNYOZ7Yh_7C7zeUGN-o
45,Promoting insight: A Case Study of How to Incorporate Interaction in Existing Data Visualizations,2016,IV,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7557928
46,StoryPrint: an Interactive Visualization of Stories,2019,international conference on intelligent user interfaces,https://dl.acm.org/doi/pdf/10.1145/3301275.3302302
47,Elastic Documents: Coupling Text and Tables through Contextual Visualizations for Enhanced Document Reading,2018,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440810
48,Static and interactive infographics in daily tasks: A value-in-use and quality of interaction user study,2017,Computers in Human Behavior,https://pdf.sciencedirectassets.com/271802/1-s2.0-S0747563217X00022/1-s2.0-S0747563217300389/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEEMaCXVzLWVhc3QtMSJHMEUCIQC8xOQNbzq71eiG6Sq3%2F0wcSW6jmjeQjZj1m2qsEBGJAAIgaVIRk6CYZW26TCbJaZpzp9gyg5Y9Nq171r3jF0E3PX4qvAUIrP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDGJHz0p2771qduH%2FriqQBapTx%2FyTrKTXkfCdq9QN40jfo1uhrX8bQT%2BMoFWnkv3fvXb00S8jmt6of4P73H%2FYYaNA%2FQJBg%2FzH%2BX2Mzd10zQ5Qq28jZCCyzj4dXv%2BDLlWrMWqpqU2MZ%2B6zbulSmGO25DmII7YCzkH7Cse1y%2Fen20t7i6%2BJiVqfFvp3bcU%2BC9LAp7ZaX7y0MM0d1%2BJU3sLsUab%2BetVisDYOkLmEcMI57S6YqgFOW5qVrvrDBL9FCCNWeMlFB3u0%2BizcYTR5I8LWx18gTOIrJHv3Fxet5H7ttIOpuYiDdskBoQZL3LtUSlILhquupRVPS79bJv4uMehsiY2JItXY0GOjAOEiCkvRtPJS2CJMSe8ZQMnRJ8D5XBSPnWtqRcZc4TX%2BpmGIc%2FzFhUzxoE0nMJcUwQJBeD7S1swCPm103y85UY9ymuaIQBuYOxf2nRg1n6wWvrHvD1YqDgmveDe1O67TrkvvfAjLQlroToOrzRJ3Mvx%2FuYdLmUKe0T1F8zLQ4OPKgJgj4YgZyKsORDQUN2SXp0UN4shgradke3xuLtRQViKyz4o4z7EE8S%2BzyavuJGFp4s2BobUSMbdTbDwvwU7IZx6QftwhtsX3rtbLu6%2BGJ0Y5AC%2FqhXuSSrGIaJCO2zgw9pUCk8wccRY%2FYRMrpuaveFDICmDmJzDi0EF2Qn3WGBnoPI6TnDCflnPOWw2T8tsAwSFaiHf%2F280xIEhfrNGhxySfJsJUvb%2F3N%2BacGqTSuuyzvrntWz%2Fn0f7x8z7KmZ7iigfwynlkPwrHVvw0mEoB56Mi3lqYxFJJ3snzD%2Bjc9%2FtySqrLQXqf0xzc%2Fom5lm7U2VokEtzL%2BwFtJ3E3d8F429kzCfCqWz5xc4ETnE2MJ2q7tgD5WxaZMLeiyKsGOrEBZbBl70eku4QUGBdP4nV3X%2BlOA0wsp%2Bxjq%2BEtg86LpVrmUQmKVx0n5sBMij5BG9I11kS%2FyCcOyViumvc2ifVDMf7LzH3yIK3EGQd%2FIKZVQeyZE%2FKcoDFPcNWPXnGG86sd4OtZB6CqI7WY3BnpOuw46UvWg%2BYZ4bg6gMuB8%2F7XUSpxjtF4OyWaPW3iAv%2Bk9dXOqQXr917t%2F2UpDohww5olXxZ5JGmv0dIpX5oFkZztLlAx&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231207T193018Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY62DVXHHY%2F20231207%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f7408a0a09572e4ad5b564ceaea7747b912765df5b8f45b1fddba0a56c72282c&hash=b8a77bd97bee6bcfb119a161e925f677229cdfb88d316dd5f6f7f21fcb68ccf1&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0747563217300389&tid=spdf-5d0c1b8e-d9f8-424b-8347-83578175bb7c&sid=e23aaf6e1dabf643381b5d8150fbf263b59bgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f1559555507500a0057&rr=831f2eb3dafb45f6&cc=us
49,Gender Imbalance in Instructional Dynamic Versus Static Visualizations: a Meta-analysis,2019,Educational Psychology Review,https://link.springer.com/article/10.1007/s10648-019-09469-1
50,Hooked on Data Videos: Assessing the Effect of Animation and Pictographs on Viewer Engagement,2018,International Conference on Advanced Visual Interfaces,https://dl.acm.org/doi/pdf/10.1145/3206505.3206552
51,Authoring Data-Driven Videos with DataClips,2016,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539370
52,Unveiling storytelling and visualization of data,2017,other,https://core.ac.uk/download/pdf/148332406.pdf#page=40
53,Temporal Summary Images: An Approach to Narrative Visualization via Interactive Annotation Generation and Placement,2016,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539294
54,Narvis: Authoring Narrative Slideshows for Introducing Data Visualization Designs,2018,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8444072
55,Storytelling and Visualization: A Survey,2018,VISIGRAPP,https://pdfs.semanticscholar.org/5920/0768e4316ab899523161c4552e005e10688c.pdf
56,Storytelling and Visualization: An Extended Survey,2018,other,https://www.mdpi.com/2078-2489/9/3/65/htm
57,A Comparative Evaluation on Online Learning Approaches using Parallel Coordinate Visualization,2017,EuroVis,https://dl.acm.org/doi/pdf/10.1145/2858036.2858101
58,Timelines Revisited: A Design Space and Considerations for Expressive Storytelling,2016,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7581076
59,Narrative Visualization: Telling Stories with Data,2010,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613452
60,A Deeper Understanding of Sequence in Narrative Visualization,2013,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634182
61,Towards a Computational Model of Narrative Visualization,2010,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,https://ojs.aaai.org/index.php/AIIDE/article/view/12470/12329
62,Visualization Rhetoric: Framing Effects in Narrative Visualization,2011,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064988
63,Rethinking Map Legends with Visualization,2010,InfoVis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5613425
64,Visualizing Protein Interactions and Dynamics: Evolving a Visual Language for Molecular Animation,2012,CBE—Life Sciences Education,https://www.lifescied.org/doi/epdf/10.1187/cbe.11-08-0071
65,Teaching the Design of Narrative Visualization: Using Metaphor for Financial Literacy and Decision Making,2013,DRS // Cumulus,https://dl.designresearchsociety.org/cgi/viewcontent.cgi?article=1142&context=learnxdesign
66,SketchStory: Telling More Engaging Stories with Data through Freeform Sketching,2013,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634113
67,Understanding Interactive Legends: a Comparative Evaluation with Standard Widgets,2010,InfoVis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8659.2009.01678.x
68,Attractive Flicker —Guiding Attention in Dynamic Narrative Visualizations,2014,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6876019
69,A Live Storytelling Virtual Reality System with Programmable Cartoon-style Emotion Embodiment,2019,AIVR,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8942322
70,Sensing Affective Response to Visual Narratives,2019,Computational Intelligence Magazine,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686345&casa_token=tZzigbNArQkAAAAA:xzbVwniCYpMAcPg0nI-4zIp0MsUgI53_WTAXdduABwaQUcDVCpDJOX9y0aMiy2nJuYdLwumP
71,DIRECTOR’S CUT - ANALYSIS OF VR FILM CUTS FOR INTERACTIVE STORYTELLING,2018,IC3D,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8657901
72,A War Torn Memory Palace,2013,DigitalHeritage,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6743755
73,A Typology for Data Visualization on the Web,2013,International conference on information visualisation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6676585
74,Storytelling: The Next Step for Visualization,2013,IEEE Computer,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6412677
75,Dynamic Visualization of Motion for Student-Generated Graphs,2014,other,https://repository.isls.org/bitstream/1/1192/1/769-776.pdf
76,How to Tell Stories Using Visualization,2014,International conference on information visualisation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6902874
