,Static Single Frame,Static Multi Frame,Animated Linear,Animated Non Linear,Animated Real Time,Hybrid Time Dimension,Static Single View,Static Multi View,Animated Localized,Animated Global,Animated Path,Hybrid Space Dimension,Emphasizing Actions,Explaining Concepts,Conveying Emotions,Creating Atmosphere,Stepwise Cluster Formation,Spatial Cluster Boundary,Force Directed Cluster,Incremental Classification Boundary,Tree Expansion,Progressive Manifold Projection,Hybrid Cluster,Non Interactive,Semi Interactive,Fully Interactive,Emotional Experience,Cognitive Optimization,Immersive Experience,Inspiring Experience,Information Overload,Visual Fatigue,Interaction Confusion,Emotional Burden,Rule Based,AI or ML Generative,Real Time,Virtual Reality (VR),Augmented Reality (AR),Eye Tracking,Motion Sensing Devices,Multi Modal Interaction,Education,Journalism,Social Advocacy,Business,Healthcare,Environmental Science,Academic Research
Static Single Frame,1.0,0.6872514806606213,0.667232378556943,0.6117408090103484,0.4829306223785925,0.6144760615085318,0.9420863863960143,0.7231533299880872,0.5932337534446139,0.7474558769623474,0.6623689693595929,0.6579755140144893,0.5959658306636407,0.6788828577642427,0.7661887141588314,0.6541642575852642,0.6723260220243839,0.5071658746386621,0.21879308731748137,0.38954690715730894,0.2024716678671215,0.3991663216718166,0.4300769887080872,0.6815451536966367,0.6487053122646947,0.5876963958715307,0.4900028355378908,0.6476373189165767,0.7340612744047862,0.5508934263890232,0.6184318310272692,0.5903845108170557,0.6846494434958231,0.7998538433145439,0.6790316074335873,0.3683345270119754,0.46341697836438506,0.4533195363651628,0.3609832133339171,0.02158664458881731,0.4722001408015175,0.7487095570268835,0.6410318044252914,0.5129020125127631,0.7540360317130567,0.4928617957462598,0.29141970194903327,0.5204933370198545,0.6677391622320815
Static Multi Frame,0.6872514806606213,1.0,0.6001539490260653,0.7113110805631206,0.3236814589927077,0.6341463839378244,0.6939342864291609,0.9417627778654761,0.7491286562936093,0.6940129153119307,0.5163040893981279,0.6012973929145791,0.7477345391356585,0.7682970632055277,0.7813882767796444,0.4554101009612049,0.5685471030286655,0.7128636895945579,0.5488252033577565,0.36740441570618343,0.13773278215412924,0.37672930959553247,0.5882042053089757,0.5650362944303106,0.6278204644102784,0.7875355976593937,0.48741499533473365,0.76218148062761,0.5798545545656899,0.8208631135146052,0.5763184059787749,0.4108643301101548,0.6590685732926368,0.6586705672078679,0.7613381390310662,0.28792302132911657,0.23406605280037052,0.3275274696729968,0.49586790854731466,-0.12737179376172098,0.2492715366390721,0.5072454196587043,0.762713126216444,0.7745735806759227,0.5896371905217869,0.5231550136288381,0.2668742345483678,0.5799583735513896,0.7811129795814175
Animated Linear,0.667232378556943,0.6001539490260653,1.0,0.834386294197652,0.4040520512517471,0.8424079410819377,0.7048565929393149,0.673189934453569,0.802704970823788,0.9466157918920921,0.8070407636990113,0.8142466304954366,0.8676267102710369,0.8967837432121258,0.8054927570578412,0.749306564508711,0.6769461892733638,0.7207327635098162,0.34776081333139397,0.2529487695003601,0.6352739537890122,0.47042430646729744,0.7515834040332154,0.9223174751905034,0.8873471475037884,0.5921964233146148,0.7573836409006265,0.8572636216295457,0.8743994751180327,0.7620595543081343,0.8419457944027483,0.8700535057824275,0.6444492801324205,0.7062326221595696,0.8423711448903373,0.5307913977317401,0.41675405833557155,0.35855608743019207,0.39242986553056974,0.16208699842734714,0.35488510285436203,0.51903458590228,0.8931096697960137,0.7534072484645027,0.7643486192644893,0.8473067324746216,0.3094388151794808,0.6707002861284272,0.8841673760282864
Animated Non Linear,0.6117408090103484,0.7113110805631206,0.834386294197652,1.0,0.5565586496664223,0.933535726327881,0.6767908775994158,0.7104399746695383,0.937210957747912,0.9033422206556324,0.6421557822893796,0.924519825106462,0.9541951986713502,0.9563970684262868,0.7122653785977445,0.585034191600894,0.8101954139135781,0.9349791827508585,0.42050516745776945,0.28412788583437953,0.5424529565138446,0.7132558212564947,0.9078118246873307,0.8459572588935083,0.7083042678886552,0.8418858995509884,0.7913399089967371,0.972962849956518,0.868634710821198,0.9362737319911586,0.8905956025572538,0.8107915451574769,0.8664364554387556,0.5395500661452071,0.9671134145970202,0.5384168580640176,0.46735977140224216,0.279779804373093,0.5349152458336082,0.05676691682932325,0.16664258432419599,0.5493991853679282,0.9689278423192657,0.8498433857949628,0.5965206645363176,0.7288672092485465,0.4419709953140164,0.8110387067713895,0.9595541763857885
Animated Real Time,0.4829306223785925,0.3236814589927077,0.4040520512517471,0.5565586496664223,1.0,0.6689690544885175,0.4008001786170278,0.17145498543011126,0.6776241427326308,0.5424819380365565,0.45337583832221356,0.6555675355193422,0.5128565056089285,0.52650055893329,0.34860303005414,0.705628543825493,0.6383939008349109,0.47838055133603735,-0.13456576617164237,0.6436513099113389,0.2023140606414352,0.6229486849001399,0.5252597168303247,0.5861201604225954,0.24572300832333718,0.32816292782600265,0.16353818542306922,0.5948292972051744,0.7223409123987758,0.3814564675360887,0.5122324428144883,0.4497402100611347,0.6396991203370692,0.33426966292134835,0.46995931085123177,0.772595081149929,0.5976279155273392,0.6147404740584141,0.6942928316752016,0.0723224087127546,0.34357149000406884,0.5938950116030902,0.510150078718058,0.4994446428458508,0.6326814852309807,0.2708399877678857,0.31339710442193663,0.7051205579734666,0.5107544208016471
Hybrid Time Dimension,0.6144760615085318,0.6341463839378244,0.8424079410819377,0.933535726327881,0.6689690544885175,1.0,0.676589288346275,0.6179657275221746,0.9172955044435116,0.9027103582187221,0.6746009087756025,0.9740540281773722,0.9407172964473111,0.9448568317477251,0.6725662833576597,0.7394798959252135,0.7635209476964993,0.8266223668915793,0.3155755251725204,0.48470349319639394,0.4937023993843666,0.6673654142510118,0.8879193597378016,0.9113848825563841,0.7095265583833921,0.703681566706788,0.6909970553836028,0.9635485030734023,0.9048090973879952,0.8506182876359882,0.8931466567159521,0.8184810948429491,0.8117180610672694,0.6301256900343456,0.922966239085197,0.7252064827184626,0.5206503430302043,0.3889244574524507,0.6331740956421024,0.018520212259640522,0.30691138542736296,0.564310682122703,0.9515640555443687,0.8717991485132586,0.7461868775135593,0.7624717467365991,0.48152551875065325,0.8716283346137107,0.930044313328139
Static Single View,0.9420863863960143,0.6939342864291609,0.7048565929393149,0.6767908775994158,0.4008001786170278,0.676589288346275,1.0,0.7430663684527097,0.6219087336426727,0.7741899414191304,0.6047875624700714,0.7066862693398677,0.6721041486139654,0.7314672199784992,0.7567409145609626,0.6137860549392455,0.696311695989688,0.6049699227805198,0.21274790016365683,0.3247905323478735,0.15640098994692261,0.4721095265079615,0.4868935697152184,0.6758976012326275,0.6303495005433303,0.6499555709619099,0.5874937135645767,0.6957808286374204,0.7198312908412792,0.6290155281177874,0.6429220972169615,0.7008981610462801,0.6622883898066376,0.8121477303555568,0.7459463891610285,0.32425742574257405,0.5002758805396469,0.362081158649492,0.33638396596763204,0.13578043449355948,0.34501725129385785,0.7115446143914512,0.7114316838638377,0.547820083368199,0.6754662033664485,0.5494905283289264,0.30550597761050896,0.5269013457259457,0.7336377520948938
Static Multi View,0.7231533299880872,0.9417627778654761,0.673189934453569,0.7104399746695383,0.17145498543011126,0.6179657275221746,0.7430663684527097,1.0,0.6940648642383054,0.7102687621967247,0.4900310614923644,0.5758481950627662,0.7227665629059635,0.7748807651082236,0.8496746639816678,0.42221335311304703,0.5007347888319099,0.6712966542635895,0.6444036814971519,0.1973719276059534,0.21384743097295977,0.28689619310764475,0.5586070064981263,0.6117489459117068,0.7274458383348686,0.7446857337387297,0.5812690230551855,0.7420821107881244,0.5643142965155874,0.8155231464862559,0.5876874870095818,0.513107132974928,0.619104348513179,0.733891432962532,0.7765007904333736,0.24217345206657137,0.2512936537598617,0.288793397476942,0.3960582090908451,-0.05500826618608418,0.2780320332875099,0.49926422295930645,0.7676549450908091,0.7021151602588417,0.582034330149964,0.5731460055630417,0.22003306474433673,0.456929694050375,0.7890803276605731
Animated Localized,0.5932337534446139,0.7491286562936093,0.802704970823788,0.937210957747912,0.6776241427326308,0.9172955044435116,0.6219087336426727,0.6940648642383054,1.0,0.868856276012134,0.6633657629549192,0.8899267119123894,0.9450325999790045,0.934868691589163,0.7442504427127277,0.7170525185266169,0.801824964622467,0.9012877340836759,0.35885253966462627,0.39241461339330796,0.5478519356946415,0.6457774999440715,0.8958670171351654,0.8437333566422515,0.6344843144466843,0.7513568283573805,0.7041464316743095,0.9658398079385657,0.8434462144141551,0.9142396890570559,0.8464620887805128,0.7387649099043486,0.8340166699841685,0.556709797561009,0.9139032830680933,0.6431907815620038,0.43096334426827776,0.42157303796595214,0.7029681049852162,0.025222318510783503,0.1934634890030104,0.6236956005938352,0.9388335736991426,0.8822421347659128,0.721208067532656,0.7443227371829241,0.33149332899886835,0.872377029115427,0.9327726630979499
Animated Global,0.7474558769623474,0.6940129153119307,0.9466157918920921,0.9033422206556324,0.5424819380365565,0.9027103582187221,0.7741899414191304,0.7102687621967247,0.868856276012134,1.0,0.799224187186626,0.8891163149565288,0.9057399586556093,0.9567643991464849,0.8483185268249414,0.7966413896107967,0.8071318744658977,0.7834856133996688,0.3078766926490263,0.32724523573203407,0.5364183986870635,0.6373912647064245,0.8353765443463202,0.9282899535964148,0.8280002279027407,0.7221383932719226,0.7889045928955211,0.9237230398522359,0.9412181259751301,0.8296487108511106,0.9084829800613952,0.8261425847959344,0.7475558880666403,0.7436606641349844,0.9159516189076916,0.5881588632625918,0.4368659655355549,0.4166096834139011,0.51073657036094,0.07301406822717856,0.38718949474029574,0.5624493885174707,0.9470248703944727,0.8536717719835042,0.8041040048283227,0.8529776441983704,0.33071077961722045,0.7978665875071169,0.9484933801221888
